CustomerID,Churn,CustomerStatus,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,ComplainRecieved,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,WarehouseToHomeRange,TenureRange,CashbackAmountRange,R,F,M,RFM_Segment,Segment
50929,0,Stayed,50.0,Phone,1,6,Debit Card,Male,3.0,1,Laptop & Accessory,3,Divorced,1,0,No,24.0,1.0,2.0,8.0,149,Very close distance,More than 2 Years,Moderate Cashback Amount,1,3,3,133,New Customers
53744,0,Stayed,51.0,Phone,1,7,Debit Card,Male,4.0,2,Laptop & Accessory,3,Divorced,2,0,No,25.0,2.0,3.0,9.0,174,Very close distance,More than 2 Years,Moderate Cashback Amount,1,1,2,112,Loyal Customers
52720,0,Stayed,60.0,Phone,3,27,Debit Card,Female,3.0,3,Grocery,1,Married,5,1,Yes,13.0,2.0,1.0,0.0,279,Moderate Distance,More than 2 Years,High Cashback Amount,,,,,
55535,0,Stayed,61.0,Phone,3,28,Debit Card,Female,4.0,4,Grocery,1,Married,6,1,Yes,16.0,1.0,2.0,1.0,304,Moderate Distance,More than 2 Years,Very High Cashback Amount,,,,,
50786,0,Stayed,10.0,Phone,1,6,Debit Card,Male,2.0,3,Phone,3,Divorced,2,0,No,22.0,0.0,1.0,1.0,112,Very close distance,1 Year,Moderate Cashback Amount,4,4,4,444,Lost Customers
51369,0,Stayed,10.0,Phone,1,21,Debit Card,Male,3.0,3,Phone,1,Single,2,0,No,14.0,1.0,1.0,0.0,112,Moderate Distance,1 Year,Moderate Cashback Amount,4,3,4,434,Lost Customers
51647,0,Stayed,10.0,Phone,3,16,Credit Card,Female,3.0,4,Phone,3,Single,2,0,No,12.0,0.0,1.0,0.0,112,Close Distance,1 Year,Moderate Cashback Amount,4,4,4,444,Lost Customers
52256,0,Stayed,10.0,Phone,1,7,Debit Card,Male,2.0,3,Phone,3,Married,2,0,No,22.0,1.0,1.0,1.0,112,Very close distance,1 Year,Moderate Cashback Amount,4,4,4,444,Lost Customers
50391,0,Stayed,10.0,Computer,1,9,Debit Card,Male,2.0,4,Phone,3,Divorced,2,0,No,18.0,1.0,1.0,0.0,113,Very close distance,1 Year,Moderate Cashback Amount,4,3,4,434,Lost Customers
50892,1,Churned,10.0,Phone,1,14,Debit Card,Female,2.0,4,Phone,4,Single,2,0,No,12.0,0.0,1.0,0.0,113,Close Distance,1 Year,Moderate Cashback Amount,4,4,4,444,Lost Customers
50928,0,Stayed,10.0,Computer,1,13,Cash on Delivery,Male,3.0,3,Phone,3,Married,2,0,No,13.0,0.0,1.0,0.0,113,Close Distance,1 Year,Moderate Cashback Amount,4,4,4,444,Lost Customers
51861,0,Stayed,10.0,Computer,1,9,Debit Card,Male,2.0,4,Phone,3,Married,2,0,No,18.0,1.0,1.0,0.0,113,Very close distance,1 Year,Moderate Cashback Amount,4,4,4,444,Lost Customers
52362,1,Churned,10.0,Phone,1,14,Debit Card,Female,2.0,4,Phone,4,Single,2,0,No,12.0,0.0,1.0,0.0,113,Close Distance,1 Year,Moderate Cashback Amount,4,4,4,444,Lost Customers
52398,0,Stayed,10.0,Computer,1,13,Cash on Delivery,Male,3.0,3,Phone,3,Married,2,0,No,13.0,0.0,1.0,0.0,113,Close Distance,1 Year,Moderate Cashback Amount,4,3,4,434,Lost Customers
50172,1,Churned,10.0,Phone,1,9,Debit Card,Male,2.0,3,Phone,3,Single,2,0,No,13.0,0.0,1.0,0.0,114,Very close distance,1 Year,Moderate Cashback Amount,4,4,4,444,Lost Customers
50653,1,Churned,10.0,Phone,1,16,Debit Card,Female,2.0,4,Phone,5,Single,2,0,No,13.0,1.0,1.0,0.0,114,Close Distance,1 Year,Moderate Cashback Amount,4,4,4,444,Lost Customers
